"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "Ignore", "comment", "blank", "total"
"y:\mc\view\assets\scripts\window.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"y:\mc\view\assets\styles\animation.css", "CSS", 0, 0, 0, 206, 0, 0, 9, 43, 258
"y:\mc\view\assets\styles\control.css", "CSS", 0, 0, 0, 466, 0, 0, 11, 84, 561
"y:\mc\view\assets\styles\font-icon.css", "CSS", 0, 0, 0, 163, 0, 0, 0, 42, 205
"y:\mc\view\assets\styles\font.css", "CSS", 0, 0, 0, 95, 0, 0, 1, 20, 116
"y:\mc\view\assets\styles\index.css", "CSS", 0, 0, 0, 902, 0, 0, 28, 165, 1095
"y:\mc\view\i18n\zh_cn.js", "JavaScript", 67, 0, 0, 0, 0, 0, 0, 4, 71
"y:\mc\view\index.html", "HTML", 0, 70, 0, 0, 0, 0, 9, 5, 84
"y:\mc\view\renderer.js", "JavaScript", 61, 0, 0, 0, 0, 0, 1, 8, 70
"Total", "-", 40204, 518, 8853, 3052, 236, 0, 2317, 903, 56083
