"filename", "language", "Ignore", "JavaScript", "CSS", "HTML", "XML", "JSON", "Markdown", "comment", "blank", "total"
"y:\mc\view\app\i18n\zh_cn.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 1, 62
"y:\mc\view\app\onload.js", "JavaScript", 0, 142, 0, 0, 0, 0, 0, 34, 10, 186
"y:\mc\view\app\view\Button.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"y:\mc\view\app\view\Card.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 5, 1, 43
"y:\mc\view\app\view\Control.js", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 0, 9, 172
"y:\mc\view\app\view\Page.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"y:\mc\view\app\view\PopupWindow.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"y:\mc\view\app\view\Sidebar.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"y:\mc\view\assets\images\loading.svg", "XML", 0, 0, 0, 0, 118, 0, 0, 0, 0, 118
"y:\mc\view\assets\styles\animation.css", "CSS", 0, 0, 302, 0, 0, 0, 0, 16, 71, 389
"y:\mc\view\assets\styles\control.css", "CSS", 0, 0, 515, 0, 0, 0, 0, 15, 94, 624
"y:\mc\view\assets\styles\font-icon.css", "CSS", 0, 0, 204, 0, 0, 0, 0, 0, 55, 259
"y:\mc\view\assets\styles\font.css", "CSS", 0, 0, 99, 0, 0, 0, 0, 1, 19, 119
"y:\mc\view\assets\styles\index.css", "CSS", 0, 0, 1148, 0, 0, 0, 0, 53, 210, 1411
"y:\mc\view\index.html", "HTML", 0, 0, 0, 60, 0, 0, 0, 17, 3, 80
"y:\mc\view\renderer.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 1, 12, 120
"y:\mc\view\vendor\ac-colors.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"y:\mc\view\vendor\hsvToRgb.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 0, 1, 85
"y:\mc\view\vendor\jquery-ui.min.js", "JavaScript", 0, 8217, 0, 0, 0, 0, 0, 4, 1, 8222
"y:\mc\view\vendor\jquery.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"y:\mc\view\vendor\vanilla-tilt.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"y:\mc\view\vendor\vue.dev.js", "JavaScript", 0, 13100, 0, 0, 0, 0, 0, 1950, 120, 15170
"y:\mc\view\vendor\vue.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 0, 25526, 2268, 89, 118, 8974, 1, 2943, 856, 40775
